레시피_아이디,재료_아이디,재료_이름,레시피_재료_순번,내용
6909384,391,부침가루,8,1큰술
6909384,501,소금,9,1/2티스푼
6909442,161,아보카도,1,1/2쪽
6909442,643,스팸,2,150g
6909442,2,양파,3,1/2개
6909442,219,계란,4,1개
6909442,383,간장,5,2스푼
6909442,226,설탕,6,1스푼
6909442,666,참기름,7,1티스푼
6909442,94,김,8,적당량
6909462,858,가래떡,1,9줄
6909462,552,어묵,2,9개
6909462,20,양배추,3,1컵
6909462,2,양파,4,1/2개
6909462,26,대파,5,1대
6909462,1005,물,6,3컵
6909462,383,간장,7,1/2컵
6909462,226,설탕,8,1컵
6909462,224,고추가루,9,1컵
6909462,477,고추장,10,2/3컵
6909462,225,후추,11,약간
6909462,547,통깨,12,약간
6909472,481,굴 소스,1,1숟갈
6909472,2,양파 반개,2,75g
6909472,579,올리브유,3,1숟갈
6909472,219,달걀,4,1개
6909472,690,연두부,5,1팩
6909472,857,된장 반,6,숟갈
6909472,477,고추장 반,7,숟갈
6909472,28,다진 마늘 반,8,숟갈
6909472,78,새우,9,150g
6909472,1005,물,10,150ml
6909472,5,파프리카,11,40g
6909486,46,콩나물,1,300g
6909486,1005,물,2,5컵
6909486,283,굵은소금,3,0.5
6909486,26,다진 대 파,4,2
6909486,224,고춧가루,5,1
6909486,382,연두,6,1
6909486,233,다진 마늘,7,0.5
6909486,666,참기름,8,1
6909486,547,통깨,9,0.5
6909506,929,파스타면,1,1인분
6909506,78,새우,2,7-8개
6909506,83,바지락,3,10-12개
6909506,28,마늘,4,9개
6909506,296,청양고추,5,1개
6909506,579,올리브오일,6,6큰술
6909506,501,소금,7,2큰술
6909506,710,파슬리가루,8,조금
6909506,204,파마산치즈,9,조금
6909518,123,소갈비 800g~,1,900g
6909518,18,무,2,2토막
6909518,8,당근,3,1/2개
6909518,26,대파,4,1대
6909518,383,간장,5,2소주컵
6909518,1005,물,6,2소주컵
6909518,293,맛술,7,1소주컵
6909518,226,설탕,8,1소주컵
6909518,233,다진 마늘,9,1/2소주컵
6909518,666,참기름,10,1/3소주컵
6909518,459,생강가루,11,0.3
6909523,983,냉동만두,1,10개
6909523,296,청양고추,2,2
6909523,33,홍고추,3,1/2
6909523,2,양파,4,1/4개
6909523,26,대파,5,1토막
6909523,28,마늘,6,1~2개
6909523,508,식용유,7,
6909523,383,간장,8,2스푼
6909523,226,설탕,9,2/3스푼
6909523,226,요리 당,10,2스푼
6909523,481,굴 소스,11,1/2스푼
6909523,231,식초,12,2스푼
6909523,1005,물,13,1스푼
6909527,576,진미채 오장어채,1,100g
6909527,28,마늘,2,4개
6909527,477,고추장,4,2T
6909527,345,물엿,5,2T
6909527,226,설탕,6,1T
6909527,383,간장,7,1T
6909527,293,맛술,8,1T
6909527,228,마요네즈,9,2T
6909527,666,참기름,10,1T
6909555,506,삶은 시래기,1,2줌
6909555,2,양파,2,1/2개
6909555,296,청양고추,3,1개
6909555,33,홍고추,4,1개
6909555,857,된장,5,2큰술
6909555,233,다진 마늘,6,1/2큰술
6909555,323,멸치다시팩,7,1개
6909555,1005,물,8,1L
6909570,118,돼지 앞다리살,1,200g
6909570,12,청경채,2,3포기
6909570,5,파프리카,3,1/2개
6909570,383,간장,4,2스푼
6909570,481,굴 소스,5,1스푼
6909570,580,올리고당,6,2스푼
6909570,233,다진 마늘,7,1스푼
6909570,234,밀가루,8,1스푼
6909594,589,알배추,1,1통
6909594,501,절일굵은 소금,2,2줌
6909594,2,양파,3,1/2개
6909594,8,당근,4,1/2개
6909594,766,쪽파,5,1줌
6909594,224,고춧가루,6,1컵
6909594,948,액젓,7,5큰술
6909594,394,새우젓,8,1큰술
6909594,226,설탕,9,2큰술
6909594,233,다진마늘,10,2큰술
6909615,234,밀가루,1,2와1/2컵
6909615,1005,끓는 물,2,2/3컵
6909615,549,천일염,3,1/2작은술
6909615,579,올리브유,4,1작은술
6909615,329,호박,5,1/4개
6909615,2,양파,6,1/2개
6909615,4,감자,7,1개
6909615,344,멸치육수,8,1.5리터
6909615,353,국간장,9,1큰술
6909615,549,천일염,10,1/2작은술
6909615,224,고추가루,11,2큰술
6909615,233,다진마늘,12,1큰술
6909615,337,멸치액젓,13,1큰술
6909615,94,김가루,14,약간
6909615,666,참기름,15,약간
6909615,547,통깨 약간,16,등
6909627,15,상추,1,1봉지
6909627,224,고춧가루,2,1.5큰술
6909627,580,올리고당,3,1.5큰술
6909627,383,간장,4,1.5큰술
6909627,233,다진마늘,5,0.5큰술
6909627,231,식초,6,1큰술
6909627,501,소금,7,1꼬집
6909627,291,깨,8,톡톡
6909627,666,참기름,9,1큰술
6909631,323,중멸치,1,60g
6909631,477,고추장,2,2큰술
6909631,224,고춧가루,3,0.7큰술
6909631,233,다진마늘,4,1큰술
6909631,666,참기름,5,1큰술
6909631,855,청주,6,2큰술
6909631,345,물엿,7,5큰술
6909631,459,생강가루,8,약간
6909631,547,통깨,9,약간
6909638,58,생고등어,1,2마리
6909638,18,무,2,1/5토막
6909638,296,청양고추,3,3개
6909638,26,대파,4,1대
6909638,2,양파,5,1개
6909638,885,쌀뜨물,6,
6909638,508,식용유,7,1큰술
6909638,1005,물,8,
6909638,477,고추장,9,1큰술
6909638,224,고춧가루,10,4큰술
6909638,671,참치액,11,2큰술
6909638,233,다진마늘,12,1큰술
6909638,383,간장,13,2큰술
6909638,969,생강술,14,1큰술
6909638,580,요리당,15,2큰술
6909638,331,들기름,16,1큰술
6909638,225,후춧가루,17,조금
6909638,501,소금,18,
6909638,382,다시다,19,
6909641,766,쪽파,1,1단
6909641,224,고춧가루,2,1.5컵
6909641,288,까나리액젓,3,1컵
6909641,226,설탕,4,1/2컵
6909641,852,매실액,5,2큰술
6909641,291,깨,6,톡톡
6909645,16,마늘쫑,1,1단
6909645,224,고춧가루,2,3큰술
6909645,477,고추장,3,3큰술
6909645,383,간장,4,1.5큰술
6909645,501,소금,5,1작은술
6909645,226,설탕,6,1큰술
6909645,580,올리고당,7,2큰술
6909645,233,다진마늘,8,0.5큰술
6909645,547,통깨,9,톡톡
6909645,666,참기름,10,1큰술
6909645,501,소금,11,1큰술
6909646,64,오징어,1,1마리
6909646,2,양파,2,1/2개
6909646,8,당근,3,약간
6909646,26,대파,4,약간
6909646,383,간장,5,2.5큰술
6909646,233,다진마늘,6,1큰술
6909646,226,설탕,7,0.5큰술
6909646,345,물엿,8,0.5큰술
6909646,855,청주,9,1큰술
6909646,225,후추,10,약간
6909646,354,깨소금,11,0.5큰술
6909646,666,참기름,12,약간
6909652,327,두부,1,1모
6909652,2,양파,2,1/8쪽
6909652,8,당근,3,20g
6909652,296,청양고추,4,1개
6909652,26,대파,5,1/2대
6909652,383,간장,6,4T
6909652,226,설탕,7,1T
6909652,345,물엿,8,1T
6909652,293,맛술 또는 생강술,9,1T
6909652,225,후추,10,약간
6909652,28,마늘,11,1/2T
6909652,282,굵은고춧가루,12,1.5T
6909652,354,깨소금,13,약간
6909652,666,참기름,14,1T
6909657,1,시금치,1,1단
6909657,26,대파,2,1/4
6909657,296,청양고추,3,1/2
6909657,990,멸치 다시마 육수,4,7컵
6909657,857,된장,5,2
6909657,477,고추장,6,0.5
6909657,224,고춧가루,7,0.5
6909657,233,다진 마늘,8,0.5​
6909680,356,모닝빵,1,4개
6909680,437,비엔나소시지,2,8
6909680,200,스틱 치즈,3,2개
6909680,5,홍 파프리카,4,1/4개
6909680,696,아몬드 슬라이스,5,1스푼
6909680,219,달걀,6,1개
6909680,228,마요네즈,7,1스푼
6909680,226,설탕,8,1스푼
6909680,218,우유,9,2스푼
6909682,18,무,1,1/2개
6909682,224,고춧가루,2,2.5큰술
6909682,231,식초,3,2큰술
6909682,948,액젓,4,2큰술
6909682,226,설탕,5,1.5큰술
6909682,233,다진마늘,6,1큰술
6909682,26,파,7,2큰술
6909692,221,메추리알,1,300g
6909692,26,대파,2,1/2뿌리
6909692,383,간장,3,3큰술
6909692,855,청주,4,1큰술
6909692,353,국간장,5,1큰술
6909692,226,설탕,6,1/2큰술
6909692,1005,물,7,1컵
6909693,491,돼지고기 앞다리살 찌개용,1,1밥그릇
6909693,962,김치,2,1줌
6909693,26,대파,3,조금
6909693,501,소금,4,1T
6909693,477,고추장,5,1스푼
6909693,233,다진마늘,6,1T
6909693,224,고추가루,7,1T
6909693,293,맛술,8,1T
6909693,225,후추,9,톡톡
6909708,327,두부,1,1+1/2모
6909708,1005,물,2,1/3컵
6909708,481,굴소스,3,2T
6909708,383,간장,4,2T
6909708,227,꿀,5,2T
6909708,224,고추가루,6,1T
6909708,28,마늘,7,1t
6909708,666,참기름,8,1T
6909708,26,파,9,약간
6909708,547,통깨,10,약간
6909708,436,포도씨유,11,적당량
6909712,329,호박,1,1개
6909712,2,양파,2,1/2개
6909712,8,당근,3,1/3개
6909712,26,대파,4,2큰술
6909712,331,들기름,5,2큰술
6909712,233,다진마늘,6,1큰술
6909712,394,새우젓,7,1큰술
6909712,501,소금,8,적당량
6909712,354,깨소금,9,적당량
6909712,547,통깨,10,
6909721,643,스팸,1,1캔
6909721,219,계란,2,1개
6909721,14,깻잎,3,약간
6909721,234,밀가루,4,약간
6909735,154,딸기,1,15개
6909735,226,설탕,2,4숟가락
6909735,218,우유,3,2+1/2종이컵
6909779,19,미나리,1,1줌
6909779,64,오징어,2,2마리
6909779,2,양파,3,1개
6909779,843,오이고추,4,2개
6909779,7,오이,5,1개
6909779,8,당근,6,1/2개
6909779,477,고추장,7,4T
6909779,231,식초,8,4T
6909779,224,고춧가루,9,2T
6909779,852,매실액,10,2T
6909779,226,설탕,11,1T
6909779,233,다진 마늘,12,1T
6909779,291,볶은 참깨,13,1/3T
6909782,972,대패삼겹살,1,600g
6909782,28,마늘,2,10개
6909782,26,파채,3,2줌
6909782,20,양배추채,4,1줌
6909782,1005,물,5,1/2컵
6909782,755,진간장,6,1/2컵
6909782,293,맛술,7,1/2컵
6909782,226,설탕,8,1큰술
6909782,231,식초,9,4큰술
6909782,477,고추장,10,2큰술
6909782,224,고춧가루,11,2큰술
6909782,666,참기름,12,2큰술
6909782,226,설탕,13,1.5큰술
6909782,1005,물,14,약간
6909785,437,비엔나소세지,1,18~20개
6909785,2,양파,2,1/2개
6909785,5,파프리카,3,1/2개
6909785,732,케첩,4,2스푼
6909785,477,고추장,5,1/2스푼
6909785,383,간장,6,1/2스푼
6909785,226,설탕,7,1스푼
6909785,580,올리고당,8,1스푼
6909785,481,굴소스,9,1스푼
6909810,868,우동면,1,2개
6909810,1042,고기(등심 또는 차돌),2,300g
6909810,20,양배추,3,2줌
6909810,8,당근,4,1줌
6909810,2,양파,5,1/2개
6909810,51,숙주,6,2줌
6909810,26,파,7,1/2대
6909810,225,후추,8,톡톡
6909810,267,가다랑어포,9,약간
6909810,383,간장,10,6큰술
6909810,231,식초,11,2큰술
6909810,226,설탕,12,2큰술
6909810,1005,물,13,2큰술
6909810,666,참기름,14,1큰술
6909842,972,대패 삼겹살,1,600g
6909842,46,콩나물,2,600g
6909842,2,양파,3,1개
6909842,26,대파,4,3대
6909842,14,깻잎,5,10장
6909842,57,새송이 버섯,6,1개
6909842,296,청양고추,7,4개
6909842,224,고춧가루,8,5T
6909842,383,간장,9,4T
6909842,226,설탕,10,4T
6909842,477,고추장,11,4T
6909842,293,맛술,12,4T
6909842,233,다진마늘,13,4T
6909842,225,후춧가루,14,
6909842,291,깨,15,
6909842,666,참기름,16,1T
6909940,219,계란,1,2개
6909940,424,밥,2,1/2공기
6909940,1030,야채(볶은것),3,1숟가락
6909940,26,대파,4,조금
6909940,215,피자치즈,5,조금
6909940,202,체다치즈,6,1장
6909940,383,간장,7,1스푼
6909982,437,비엔나소시지,1,18~20개
6909982,2,양파,2,1개
6909982,8,당근,3,1/2개
6909982,1030,채소,4,
6909982,732,케찹,5,2큰술
6909982,580,올리고당,6,2큰술
6909982,477,고추장,7,1큰술
6909982,481,굴소스,8,1큰술
6909982,233,다진마늘,9,1작은술
6910006,7,오이,1,4개
6910006,29,부추,2,2줌
6910006,2,양파,3,1/2개
6910006,283,굵은소금,4,3줌
6910006,224,고춧가루,5,4큰술
6910006,233,다진마늘,6,1큰술
6910006,948,액젓,7,2큰술
6910009,300,닭다리살,1,2/3팩
6910009,4,감자,2,1개
6910009,2,양파,3,1/2개
6910009,233,다진 마늘,4,1숟가락
6910009,197,버터,5,2숟가락
6910009,218,우유,6,1+1/2종이컵
6910009,740,토마토소스,7,1종이컵
6910009,710,파슬리가루,8,약간
6910009,474,카레가루,9,2숟가락
6910009,224,고춧가루,10,1숟가락
6910009,293,맛술,11,1숟가락
6910009,383,간장,12,1/2숟가락
6910009,501,소금,13,약간
6910009,225,후추,14,약간
6910016,14,깻잎(큰묶음),1,3개
6910016,383,간장,2,1컵
6910016,1005,물,3,1컵
6910016,226,설탕,4,1/2컵
6910016,580,올리고당,5,1TS
6910016,224,고춧가루,6,3TS
6910016,28,마늘,7,1TS
6910016,26,파,8,1/2뿌리
6910016,547,통깨,9,4T
6910030,752,차돌박이,1,150g
6910030,424,밥,2,1공기
6910030,219,달걀노른자,3,1개
6910030,2,양파,4,1/2개
6910030,766,쪽파,5,1개
6910030,1005,물,6,200ml
6910030,754,쯔유,7,2T
6910030,383,간장,8,2T
6910030,293,맛술,9,1T
6910030,226,설탕,10,1T
6910071,95,불린 쌀,1,1종이컵
6910071,1005,물,2,1종이컵
6910124,118,돼지고기앞다리살,1,300g
6910124,547,통깨,2,약간
6910124,383,간장,3,3숟가락
6910124,226,설탕,4,2숟가락
6910124,293,맛술,5,1숟가락
6910124,233,다진마늘,6,1숟가락
6910124,26,대파,7,1/4대
6910124,666,참기름,8,2숟가락
6910124,225,후추,9,약간
6910133,119,돼지갈비,1,900g
6910133,4,감자,2,1개
6910133,2,양파,3,1개
6910133,26,대파,4,1대
6910133,755,진간장,5,7T
6910133,233,간마늘,6,2T
6910133,224,고추가루,7,4T
6910133,477,고추장,8,4T
6910133,580,올리고당,9,3T
6910133,226,설탕,10,4T
6910133,666,참기름,11,2T
6910133,225,후추,12,1/2T
6910152,125,닭,1,1마리
6910152,4,감자,2,2개
6910152,2,양파,3,1개
6910152,26,대파,4,2개
6910152,33,청고추,5,2개
6910152,33,홍고추,6,2개
6910152,477,고추장,8,4큰술
6910152,224,고춧가루,9,2큰술
6910152,755,진간장,10,7큰술
6910152,226,설탕,11,3큰술
6910152,580,올리고당,12,2큰술
6910152,347,미림,13,1큰술
6910152,233,다진마늘,14,1큰술
6910152,225,후추,15,조금
6910191,589,알배추,1,1통
6910191,29,부추,2,조금
6910191,766,쪽파,3,조금
6910191,224,고추가루,4,1컵
6910191,337,멸치액젓,5,1/2컵
6910191,394,새우젓,6,2T
6910191,233,다진마늘,7,2T
6910191,226,설탕,8,1T
6910197,66,갈치,1,1마리
6910197,18,무 10cm길이로,2,1토막
6910197,2,양파,3,1/2개
6910197,26,대파,4,1개
6910197,33,홍고추,5,1개
6910197,296,청양고추,6,3개
6910197,224,고춧가루,7,7T
6910197,233,다진마늘,8,1T
6910197,461,다진생강,9,1/3T
6910197,383,간장,10,9T
6910197,293,맛술,11,4T
6910197,225,후춧가루,12,약간
6910197,666,참기름,13,1T
6910197,580,올리고당,14,1+1/2T
6910213,7,오이,1,5개
6910213,29,부추,2,1줌
6910213,18,무,3,2~3센티한토막
6910213,224,고춧가루,4,5큰술
6910213,948,액젓,5,3큰술
6910213,2,간양파,6,2큰술
6910213,226,설탕,7,2큰술
6910213,394,새우젓,8,1큰술
6910213,233,다진마늘,9,1큰술
6910213,1005,물,10,5이잠길양
6910213,283,굵은소금,11,1/2컵
6910213,1002,찹쌀풀,12,2큰술
6910213,459,생강가루,13,0.5큰술
6910220,491,앞다리살 돼지고기,1,600g
6910220,2,양파,2,1개
6910220,296,청양고추,3,4개
6910220,26,대파,4,1/2개
6910220,477,고추장,5,3큰술
6910220,224,고추가루,6,3큰술
6910220,383,간장,7,1큰술
6910220,233,다진마늘,8,2큰술
6910220,226,설탕 또는매실액,9,2큰술
6910220,225,후추,10,약간
6910220,459,생강가루,11,약간
6910220,547,통깨,12,약간
6910223,886,무말랭이,1,100g
6910223,1005,뜨거운물,2,3컵
6910223,746,조청,3,3큰술
6910223,233,다진마늘,4,1큰술
6910223,224,고춧가루,5,4큰술
6910223,477,고추장,6,1/2큰술
6910223,383,간장,7,2큰술
6910223,948,액젓,8,3큰술
6910223,580,요리당,9,2큰술
6910223,666,참기름,10,1큰술
6910223,547,통깨,11,1큰술
6910228,31,속배추,1,300g
6910228,501,소금,2,1ts
6910228,353,국간장,3,1ts
6910228,666,참기름,4,1ts
6910228,291,참깨,5,1ts
6910254,567,참치캔,1,1개
6910254,477,고추장,2,1.5큰술
6910254,383,간장,3,1큰술
6910254,345,물엿,4,1큰술
6910254,732,토마토케첩,5,1큰술
6910254,666,참기름,6,0.5큰술
6910254,225,후추,7,1꼬집
6910254,424,밥,8,2/3공기
6910254,15,상추,9,5장
6910254,219,달걀,10,1개
6910277,19,미나리,1,
6910277,224,고춧가루,2,3큰술
6910277,353,국간장,3,3큰술
6910277,948,액젓,4,2큰술
6910277,233,다진 마늘,5,1큰술
6910277,226,설탕,6,1.5큰술
6910277,852,매실액,7,1큰술
6910277,547,통깨,8,1큰술
6910277,666,참기름,9,1큰술
6910298,17,가지,1,2개
6910298,766,쪽파,2,3뿌리
6910298,383,집간장,4,1스픈
6910298,666,참기름,5,1스픈
6910298,547,통깨,6,1스픈
6910301,483,꽁치캔,1,1캔
6910301,18,무,2,3토막
6910301,1005,물,3,100ml
6910301,483,꽁치캔(국물),4,1캔
6910301,26,대파,5,1/2대
6910301,296,청양고추,6,1개
6910301,547,통깨,7,약간
6910301,331,들기름,8,1T
6910301,225,후추,9,약간
6910301,383,간장,10,4T
6910301,347,미림,11,1T
6910301,233,다진마늘,12,1/2T
6910301,580,올리고당,13,1T
6910301,224,고추가루,14,1T
6910309,52,표고버섯,2,3개
6910309,2,양파,3,1/2개
6910309,329,호박,4,1/2개
6910309,33,고추,5,1개
6910309,857,된장,6,5큰술
6910309,341,들깨가루,7,5큰술
6910309,666,참기름,8,2큰술
6910309,233,다진마늘,9,1.5큰술
6910309,226,설탕,10,0.5큰술
6910309,331,들기름,11,1큰술
6910309,227,꿀,12,1큰술
6910367,327,두부,1,1모
6910367,2,양파,2,1/2개
6910367,296,청양고추,3,2개
6910367,26,대파,4,
6910367,224,고춧가루,5,1.5T
6910367,477,고추장,6,1.5T
6910367,383,간장,7,2T
6910367,226,설탕,8,1T
6910367,233,다진마늘,9,1/2T
6910384,383,간장,1,2큰술
6910384,227,꿀,2,3큰술
6910384,293,맛술,3,1큰술
6910384,28,마늘,4,2컵
6910429,58,고등어,1,2마리
6910429,18,무,2,1/4개
6910429,2,양파,3,1/2개
6910429,296,청양고추,4,1개
6910429,33,홍고추,5,1개
6910429,26,대파,6,1/2대
6910429,1005,물,7,
6910429,383,간장,8,1/2컵
6910429,224,고춧가루,9,3
6910429,233,다진 마늘,10,1
6910429,857,된장,11,0.5
6910429,226,설탕,12,1
6910429,461,다진 생강,13,0.2
6910429,331,들기름,14,2​
6910462,2,양파,1,1/2개
6910462,327,두부,2,1모
6910462,26,대파,3,1대
6910462,923,돼지고기 다짐육,4,200g
6910462,1005,물,5,2컵
6910462,666,참기름,6,1스푼
6910462,383,간장,7,4T
6910462,224,고춧가루,8,3T
6910462,233,다진마늘,9,1T
6910462,857,된장,10,1T
6910462,226,설탕,11,1/2T
6910462,477,고추장,12,1/2T
6910462,387,녹말,13,2T
6910462,1005,물,14,1/3컵
6910486,601,얼갈이,1,1단
6910486,34,열무,2,2단
6910486,33,홍고추,3,10개
6910486,157,사과,4,1개
6910486,2,양파,5,2개
6910486,673,찹쌀가루,6,2큰술
6910486,224,고추가루,7,1국자반
6910486,337,멸치액젓,8,4국자
6910486,233,다진마늘,9,5큰술
6910486,459,생강가루,10,1/2큰술
6910486,501,소금,11,1국자
6910486,1005,물,12,4컵
6910486,226,설탕,13,2국자
6910495,94,김,1,3장
6910495,424,밥,2,1+1/2공기
6910495,213,슬라이스치즈,3,3장
6910495,716,슬라이스햄,4,10장
6910495,501,소금,5,1/2숟가락
6910495,666,참기름,6,1숟가락
6910515,491,돼지고기 찌개용 약,1,200g
6910515,962,김치,2,1그릇
6910515,26,대파,3,
6910515,857,된장,4,1/2스푼
6910515,885,쌀뜬물,5,2컵
6910515,224,고춧가루,6,2스푼
6910515,293,맛술,7,1스푼
6910515,233,다진마늘,8,1/2스푼
6910515,383,간장,9,1스푼
6910553,4,감자,1,3개
6910553,383,간장,2,2.5큰술
6910553,580,올리고당,3,1큰술
6910553,226,설탕,4,1큰술
6910553,852,매실액,5,1큰술
6910553,224,고춧가루,6,0.5큰술
6910630,424,밥,1,1공기
6910630,94,김밥김,2,2장
6910630,552,사각어묵,3,4장
6910630,296,청양고추,4,2개
6910630,500,단무지,5,2줄
6910630,25,우엉,6,2줄
6910630,233,다진마늘,7,1T
6910630,508,식용유,8,2T
6910630,226,설탕,9,1T
6910630,755,진간장,10,2T
6910630,948,액젓,11,1T
6910630,224,고춧가루,12,1.5T
6910630,1005,물,13,1/4컵/2번사용
6910644,465,골뱅이,1,1캔
6910644,527,국수,2,
6910644,7,오이,3,1개
6910644,2,양파,4,1/2개
6910644,8,당근,5,1/3개
6910644,26,파채,6,1줌
6910644,20,양배추,7,1줌
6910644,14,깻잎,8,1줌
6910644,477,고추장,9,3큰술
6910644,224,고춧가루,10,3큰술
6910644,226,설탕,11,3큰술
6910644,231,식초,12,3큰술
6910644,852,매실액,13,3큰술
6910644,383,간장,14,3큰술
6910644,479,골뱅이국물,15,2큰술
6910644,603,연겨자,16,2작은술
6910644,666,참기름,17,2큰술
6910644,547,통깨,18,1큰술
6910648,552,어묵,1,8장
6910648,2,양파,2,1/2개
6910648,436,포도씨유,3,7T
6910648,383,간장,4,4T
6910648,481,굴소스,5,2T
6910648,224,고추가루,6,1T
6910648,28,마늘,7,1t
6910648,227,꿀,8,2T
6910648,26,파,9,
6910648,547,통깨,10,
6910661,361,달래,1,1움쿰
6910661,383,간장,2,1T
6910661,852,매실액,3,1T
6910661,666,참기름,4,1T
6910661,224,고춧가루,5,1T
6910661,337,멸치액젓,6,1T
6910661,547,통깨,7,약간
6910695,93,톳,1,250g
6910695,327,두부,2,250g
6910695,283,굵은소금,3,약간
6910695,296,청양고추,4,1개
6910695,33,홍고추,5,1/2개
6910695,666,참기름,6,1큰술
6910695,501,고운 소금,7,1/2작은술
6910695,354,깨소금,8,1큰술
6910695,233,다진마늘,9,1작은술
6910695,947,매실청,10,1/2큰술
6910705,7,오이,1,1개
6910705,2,양파,2,1/4개
6910705,283,굵은소금,3,1/2T
6910705,233,다진마늘,4,1/2T
6910705,224,고추가루,5,1T
6910705,477,고추장,6,1/2T
6910705,383,간장,7,1T
6910705,852,매실액,8,1T
6910705,666,참기름,9,1T
6910705,354,깨소금,10,1/3T
6910706,4,감자,1,2개
6910706,410,베이컨,2,4줄
6910706,211,모짜렐라 치즈,3,1주먹
6910706,218,우유,4,2T
6910706,225,후추,5,1꼬집
6910708,219,달걀,1,
6910708,26,다진파,2,
6910708,1005,물,3,
6910708,501,소금,4,
6910717,37,도라지,1,400g
6910717,7,오이,2,2개
6910717,8,당근,3,약간
6910717,26,대파,4,1/2대
6910717,224,고춧가루,5,4T
6910717,477,고추장,6,1T
6910717,345,물엿 또는 설탕,7,1T
6910717,28,마늘,8,1/2T
6910717,231,식초,9,1/2컵
6910717,226,설탕,10,5T
6910717,501,소금,11,4T
6910771,552,막대 어묵,1,4개
6910771,46,다듬은 콩나물,2,2줌
6910771,89,다시마 멸치육수 5컵 or 생수,3,5컵
6910771,394,새우젓,4,1/2큰술
6910771,224,고추가루,5,1큰술
6910771,26,대파,6,1대
6910772,576,진미채,1,400g
6910772,477,고추장,2,2스푼
6910772,224,고춧가루,3,3스푼
6910772,345,물엿,4,1.5스푼
6910772,383,간장,5,3스푼
6910772,226,설탕,6,2스푼
6910772,666,참기름,7,1/2스푼
6910772,547,통깨,8,
6910776,4,감자,1,1개
6910776,2,양파,2,1개
6910776,567,참치캔,3,1개
6910776,26,대파,4,1줌
6910776,477,고추장,5,1큰술
6910776,383,간장,6,2큰술
6910776,666,참기름,7,1큰술
6910776,233,다진마늘,8,1큰술
6910776,224,고춧가루,9,1큰술
6910776,226,설탕,10,0.5큰술
6910776,1005,물,11,450ml
6910791,7,백오이,1,3개
6910791,341,들깨가루,2,2큰술
6910791,579,올리브유,3,2큰술
6910791,501,소금,4,1큰술
6910792,499,소고기,1,150g
6910792,1012,홀 토마토,2,400g
6910792,2,양파,3,1개
6910792,8,당근,4,50g
6910792,501,소금,5,조금
6910792,225,후추,6,조금
6910792,732,케첩,7,2스푼
6910792,197,버터,8,5g
6910792,1005,물,9,200ml
6910876,7,오이,1,6개
6910876,29,부추,2,1줌
6910876,2,양파,3,1개
6910876,8,당근,4,1/2개
6910876,233,다진 마늘,5,1큰술
6910876,224,고춧가루,6,4큰술
6910876,337,멸치 액젓,7,2큰술
6910876,135,매실,8,3큰술
6910876,226,설탕,9,1큰술
6910876,547,통깨,10,
6910876,501,소금 듬뿍,11,1큰술
6910876,1005,팔팔 끓여 뜨거운 물,12,적당량
6910953,858,떡,1,2컵
6910953,1005,물,2,2컵
6910953,477,고추장,3,1Ts
6910953,226,설탕,4,3Ts
6910953,383,간장,5,2Ts
6910953,224,고춧가루,6,1Ts
6910953,26,파,7,조금
6910953,291,깨,8,조금
6910953,552,어묵,9,조금
6910953,219,달걀,10,생략가능
6910980,507,식빵,1,2장
6910980,410,베이컨,2,2줄
6910980,219,계란,3,2개
6910980,213,슬라이스치즈,4,2장
6910980,710,파슬리가루,5,약간
6910980,496,딸기잼,6,약간
6911015,46,콩나물,1,
6911015,499,소고기,2,100g
6911015,8,당근,3,
6911015,52,표고버섯,4,
6911015,89,다시마,5,
6911015,361,달래,6,
6911015,383,간장,7,1숟갈
6911015,293,맛술,8,1숟갈
6911015,225,후추,9,조금
6911015,666,참기름,10,0.5숟갈
6911015,224,고춧가루,11,1숟갈
6911015,383,간장,12,
6911015,947,매실청,13,1숟갈
6911015,331,들기름,14,1숟갈
6911015,341,들깨가루,15,0.5숟갈
6911015,233,다진마늘,16,0.5숟갈
6911015,291,깨,17,
6911025,119,돼지갈비,1,1kg
6911025,18,무,2,1/4개
6911025,8,당근,3,1/2개
6911025,2,양파,4,1/2개
6911025,296,청양고추,5,2개
6911025,26,대파,6,1/2대
6911025,383,간장,7,1컵
6911025,293,맛술,8,1/2컵
6911025,226,설탕,9,1/2컵
6911025,1005,물,10,1컵
6911025,26,썰은 대파,11,1/2컵
6911025,28,마늘,12,2T
6911025,666,참기름,13,1T
6911025,27,생강,14,조금
6911058,46,콩나물,1,150g
6911058,26,대파,2,1뿌리
6911058,2,양파,3,1/2개
6911058,296,청양고추,4,1개
6911058,327,두부,5,1/6개
6911058,990,다시마육수,6,500ml
6911058,353,국간장,7,2T
6911058,224,고추가루,8,1T
6911058,233,다진마늘,9,1/2T
6911058,337,멸치액젓,10,1T
6911058,501,소금,11,1T
6911058,225,후추,12,톡톡
6911058,394,새우젓,13,1T
6911075,54,팽이버섯,1,1봉지
6911075,424,밥,2,2공기
6911075,2,양파,3,1개
6911075,26,대파,4,1/6대
6911075,219,달걀,5,2개
6911075,225,후추,6,약간
6911075,666,참기름,7,1/2숟가락
6911075,547,통깨,8,약간
6911075,383,간장,9,2숟가락
6911075,293,맛술,10,2숟가락
6911075,1005,물,11,2숟가락
6911111,425,소고기앞다리살,1,200g
6911111,18,무,2,400g
6911111,990,다시마육수,3,7컵
6911111,26,대파,4,약간
6911111,666,참기름,5,0.7큰술
