레시피_아이디,레시피_태그_순번,내용
6831097,5,#임신이잘되는
6831097,6,#계획임신
6831097,7,#임신준비
6831097,8,#임신
6831396,1,#열무
6831396,2,#비빔국수
6831396,3,#비빔
6831396,4,#열무국수
6831396,5,#열무비빔국수
6831396,6,#입덧
6831396,7,#입덧완화
6831396,8,#입맛
6831396,9,#헛구역질
6831396,10,#새콤
6831396,11,#식욕
6831396,12,#임신
6831988,1,#두부
6831988,2,#견과류
6831988,3,#두부강정
6831988,4,#강정
6831988,5,#칼슘
6831988,6,#고칼슘
6831988,7,#장운동
6831988,8,#장건강
6831988,9,#소화가잘되는
6831988,10,#뼈건강
6831988,11,#아이장튼튼
6831988,12,#입덧
6831988,13,#입덧완화
6831988,14,#저지방
6831988,15,#고단백
6831988,16,#임신
6831988,17,#임산부
6832042,1,#삼겹살
6832042,2,#김치
6832042,3,#두루치기
6832042,4,#삼겹살김치두루치기
6832042,5,#변비
6832042,6,#대장암
6832042,7,#밥도둑
6832042,8,#아이장튼튼
6832042,9,#장건강
6832119,1,#돼지고기#초간단#밑반찬
6908420,1,#두부
6908420,2,#계란
6908420,3,#초간단
6908420,4,#국물요리
6908461,1,#닭다리구이
6908461,2,#에어프라이어닭요리
6908461,3,#수원왕갈비통닭
6908461,4,#맞집레시피
6908461,5,#맞춤레시피
6908461,6,#닭요리
6908461,7,#에어프라이어요리
6908461,8,#간식
6908461,9,#야식
6908461,10,#술안주
6908498,1,#백종원레시피
6908498,2,#백종원갈치조림
6908498,3,#조림
6908498,4,#갈치요리
6908498,5,#반찬
6908498,6,#일상요리
6908596,1,#푸딩
6908596,2,#하리보푸딩
6908596,3,#레인보우푸딩
6908596,4,#하리보
6908596,5,#간식
6908596,6,#디저트
6908646,1,#백종원대패두부조림
6908646,2,#대패두부조림
6908646,3,#두부조림
6908646,4,#두부조림황금레시피
6908646,5,#두부조림레시피
6908646,6,#두부조림만들기
6908646,7,#두부조림만드는법
6908649,1,#다이어트
6908649,2,#곤약
6908649,3,#곤약조림
6908649,4,#간단레시피
6908649,5,#곤약조림레시피
6908649,6,#다이어트식단
6908649,7,#다이어트간식
6908649,8,#다이어트음식
6908674,1,#봄나물
6908674,2,#냉이
6908674,3,#된장국
